epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,67.7997,1.40293,2.2753,1.75102,1.14262,0,0.03477,0.59,0.19199,0.1073,0.03772,0.66556,0.21802,0.10682,1.57095,3.04589,3.04356,1.34258,0,0.000743933,0.000743933,0.000743933
29,69.8465,1.38522,2.29119,1.72726,1.1272,0,0.0391,0.60333,0.19224,0.10129,0.03953,0.65889,0.2161,0.10362,1.58032,3.04148,3.06727,1.34971,0,0.000769372,0.000769372,0.000769372
30,71.8608,1.31823,2.2203,1.73144,1.14917,0,0.03459,0.58333,0.17704,0.08838,0.03545,0.59,0.19236,0.09382,1.61318,3.0421,3.10761,1.37058,0,0.000794699,0.000794699,0.000794699
31,73.767,1.30681,2.21977,1.68605,1.1101,0,0.03459,0.58333,0.17704,0.08838,0.03545,0.59,0.19236,0.09382,1.61318,3.0421,3.10761,1.37058,0,0.000819912,0.000819912,0.000819912
32,75.7846,1.3439,2.16131,1.60984,1.109,0,0.03189,0.64889,0.18831,0.09165,0.03302,0.65889,0.20444,0.09834,1.66471,3.08662,3.04664,1.4095,0,0.000845011,0.000845011,0.000845011
33,77.7877,1.45159,2.24598,1.7837,1.16575,0,0.02937,0.66556,0.15692,0.07064,0.02937,0.66556,0.1687,0.07246,1.75922,3.11577,2.94352,1.41295,0,0.000869998,0.000869998,0.000869998
34,79.6555,1.3051,2.06061,1.61726,1.11901,0,0.02937,0.66556,0.15692,0.07064,0.02937,0.66556,0.1687,0.07246,1.75922,3.11577,2.94352,1.41295,0,0.000894872,0.000894872,0.000894872
35,81.6955,1.26793,2.08714,1.61487,1.09875,0,0.23328,0.1,0.13931,0.06446,0.24382,0.10333,0.16044,0.0653,1.74963,3.18087,2.75754,1.41514,0,0.000919632,0.000919632,0.000919632
36,83.7259,1.314,2.15264,1.68385,1.11994,0,0.1916,0.18845,0.14318,0.06883,0.19283,0.18333,0.14641,0.05834,1.74009,3.48644,2.53953,1.39591,0,0.000944279,0.000944279,0.000944279
37,85.6953,1.28008,2.21023,1.48567,1.14022,0,0.1916,0.18845,0.14318,0.06883,0.19283,0.18333,0.14641,0.05834,1.74009,3.48644,2.53953,1.39591,0,0.000968813,0.000968813,0.000968813
38,87.8132,1.32382,2.13934,1.57873,1.1372,0,0.69068,0.19333,0.14465,0.06181,0.70455,0.2054,0.15939,0.06736,1.83894,3.44451,2.44931,1.54427,0,0.000993234,0.000993234,0.000993234
39,89.7204,1.31254,2.19281,1.57098,1.14872,0,0.18734,0.16333,0.13832,0.05882,0.20397,0.17667,0.15306,0.05824,1.85406,3.32596,2.55265,1.55757,0,0.00101754,0.00101754,0.00101754
40,91.6414,1.31502,2.23723,1.61312,1.13977,0,0.18734,0.16333,0.13832,0.05882,0.20397,0.17667,0.15306,0.05824,1.85406,3.32596,2.55265,1.55757,0,0.00104174,0.00104174,0.00104174
41,93.6169,1.26549,2.06193,1.53739,1.12566,0,0.189,0.15396,0.14148,0.06481,0.1996,0.16833,0.12919,0.04796,1.77838,3.41078,2.599,1.52824,0,0.00106582,0.00106582,0.00106582
42,95.5097,1.27267,2.04972,1.52498,1.1288,0,0.25296,0.15556,0.12119,0.05861,0.29488,0.13889,0.1739,0.05017,1.67959,3.23966,2.8108,1.4704,0,0.00108978,0.00108978,0.00108978
43,97.2528,1.20969,2.04509,1.42739,1.115,0,0.25296,0.15556,0.12119,0.05861,0.29488,0.13889,0.1739,0.05017,1.67959,3.23966,2.8108,1.4704,0,0.00111364,0.00111364,0.00111364
44,99.1805,1.22679,2.15655,1.52009,1.13312,0,0.28117,0.11556,0.09872,0.04869,0.27651,0.15444,0.09585,0.04236,1.74893,3.07174,3.00934,1.54384,0,0.00113738,0.00113738,0.00113738
45,101.169,1.31084,2.14347,1.50673,1.12658,0,0.28117,0.11556,0.09872,0.04869,0.27651,0.15444,0.09585,0.04236,1.74893,3.07174,3.00934,1.54384,0,0.00116101,0.00116101,0.00116101
46,103.189,1.24075,1.99391,1.43316,1.11469,0,0.46325,0.21399,0.20193,0.08121,0.44286,0.19934,0.14551,0.05959,1.69672,3.16741,2.89457,1.46034,0,0.00118453,0.00118453,0.00118453
47,105.167,1.27205,2.02872,1.44998,1.09714,0,0.46325,0.21399,0.20193,0.08121,0.44286,0.19934,0.14551,0.05959,1.69672,3.16741,2.89457,1.46034,0,0.00120793,0.00120793,0.00120793
48,107.188,1.24076,2.01924,1.43732,1.11075,0,0.44184,0.20249,0.22276,0.10082,0.39143,0.24889,0.16615,0.06962,1.67339,3.40911,2.831,1.43706,0,0.00123122,0.00123122,0.00123122
49,109.139,1.18509,1.9513,1.40442,1.08594,0,0.44184,0.20249,0.22276,0.10082,0.39143,0.24889,0.16615,0.06962,1.67339,3.40911,2.831,1.43706,0,0.00125439,0.00125439,0.00125439
50,111.029,1.25816,2.01427,1.48939,1.11186,0,0.22799,0.59653,0.18709,0.10163,0.48823,0.26342,0.20258,0.10011,1.68287,3.2586,2.87152,1.43019,0,0.00127745,0.00127745,0.00127745
51,112.812,1.20855,2.05655,1.49577,1.07488,0,0.22799,0.59653,0.18709,0.10163,0.48823,0.26342,0.20258,0.10011,1.68287,3.2586,2.87152,1.43019,0,0.00128753,0.00128753,0.00128753
52,114.715,1.27316,2.06864,1.51732,1.12496,0,0.45271,0.37,0.22446,0.12943,0.45745,0.42556,0.24108,0.12277,1.66064,3.4278,2.69542,1.39628,0,0.0012847,0.0012847,0.0012847
53,116.577,1.2364,2.08786,1.44087,1.08968,0,0.45271,0.37,0.22446,0.12943,0.45745,0.42556,0.24108,0.12277,1.66064,3.4278,2.69542,1.39628,0,0.00128187,0.00128187,0.00128187
54,118.538,1.17828,1.89699,1.29455,1.07636,0,0.41301,0.47731,0.25254,0.14052,0.39853,0.47398,0.23982,0.12504,1.73649,3.54219,2.50992,1.50015,0,0.00127904,0.00127904,0.00127904
55,120.54,1.27263,2.13601,1.46501,1.0882,0,0.41301,0.47731,0.25254,0.14052,0.39853,0.47398,0.23982,0.12504,1.73649,3.54219,2.50992,1.50015,0,0.00127621,0.00127621,0.00127621
56,122.566,1.23297,1.99412,1.40899,1.0684,0,0.31969,0.48657,0.23995,0.12648,0.32438,0.4941,0.23747,0.11847,1.73468,3.28441,2.30677,1.4703,0,0.00127338,0.00127338,0.00127338
57,124.566,1.26914,2.0924,1.37406,1.08201,0,0.31969,0.48657,0.23995,0.12648,0.32438,0.4941,0.23747,0.11847,1.73468,3.28441,2.30677,1.4703,0,0.00127055,0.00127055,0.00127055
58,126.464,1.22822,1.93778,1.35943,1.09822,0,0.31896,0.46531,0.28486,0.15454,0.33661,0.52753,0.2957,0.15774,1.75773,2.99369,2.21523,1.49162,0,0.00126772,0.00126772,0.00126772
59,128.459,1.18691,1.91948,1.29861,1.08181,0,0.31896,0.46531,0.28486,0.15454,0.33661,0.52753,0.2957,0.15774,1.75773,2.99369,2.21523,1.49162,0,0.00126489,0.00126489,0.00126489
60,130.521,1.27848,2.08532,1.35359,1.07352,0,0.36258,0.56496,0.39252,0.2332,0.36848,0.5683,0.38872,0.21364,1.72568,3.09837,2.09086,1.45412,0,0.00126206,0.00126206,0.00126206
61,132.568,1.18283,2.0266,1.33483,1.06387,0,0.36258,0.56496,0.39252,0.2332,0.36848,0.5683,0.38872,0.21364,1.72568,3.09837,2.09086,1.45412,0,0.00125923,0.00125923,0.00125923
62,134.563,1.10535,1.89264,1.27355,1.04743,0,0.55437,0.35168,0.44993,0.27507,0.64936,0.31736,0.44992,0.25861,1.73841,3.29529,2.13704,1.47879,0,0.00125641,0.00125641,0.00125641
63,136.535,1.10492,1.95664,1.22948,1.05542,0,0.55437,0.35168,0.44993,0.27507,0.64936,0.31736,0.44992,0.25861,1.73841,3.29529,2.13704,1.47879,0,0.00125358,0.00125358,0.00125358
64,138.601,1.13524,1.93097,1.24131,1.04873,0,0.7203,0.29002,0.45421,0.2843,0.7203,0.29002,0.4449,0.25226,1.7196,3.63132,2.34568,1.48109,0,0.00125075,0.00125075,0.00125075
65,140.542,1.16283,1.88403,1.26164,1.09745,0,0.7203,0.29002,0.45421,0.2843,0.7203,0.29002,0.4449,0.25226,1.7196,3.63132,2.34568,1.48109,0,0.00124792,0.00124792,0.00124792
66,142.545,1.13145,1.89122,1.28302,1.06405,0,0.73681,0.29423,0.44791,0.29329,0.73681,0.29423,0.43206,0.24209,1.69502,3.41296,2.24883,1.4615,0,0.00124509,0.00124509,0.00124509
67,144.477,1.08169,1.79729,1.13705,1.03044,0,0.73681,0.29423,0.44791,0.29329,0.73681,0.29423,0.43206,0.24209,1.69502,3.41296,2.24883,1.4615,0,0.00124226,0.00124226,0.00124226
68,146.49,1.13368,2.00527,1.23255,1.07426,0,0.37018,0.57222,0.42149,0.26254,0.53349,0.44421,0.44866,0.2305,1.71,3.17252,2.05974,1.46409,0,0.00123943,0.00123943,0.00123943
69,148.431,1.13274,1.92832,1.27138,1.06578,0,0.37018,0.57222,0.42149,0.26254,0.53349,0.44421,0.44866,0.2305,1.71,3.17252,2.05974,1.46409,0,0.0012366,0.0012366,0.0012366
70,150.469,1.15606,1.84188,1.16513,1.05899,0,0.53418,0.32582,0.33777,0.20217,0.54077,0.36738,0.41965,0.18592,1.73098,3.10874,2.10504,1.49861,0,0.00123377,0.00123377,0.00123377
71,152.41,1.15654,1.89289,1.17139,1.03217,0,0.53418,0.32582,0.33777,0.20217,0.54077,0.36738,0.41965,0.18592,1.73098,3.10874,2.10504,1.49861,0,0.00123094,0.00123094,0.00123094
72,154.401,1.13832,1.93175,1.24281,1.05112,0,0.37666,0.38222,0.23558,0.12354,0.37334,0.43111,0.25247,0.11516,1.71944,3.10177,2.07253,1.51374,0,0.00122811,0.00122811,0.00122811
73,156.359,1.14559,1.86833,1.15862,1.04055,0,0.37666,0.38222,0.23558,0.12354,0.37334,0.43111,0.25247,0.11516,1.71944,3.10177,2.07253,1.51374,0,0.00122528,0.00122528,0.00122528
74,158.342,1.17828,1.91889,1.24112,1.05102,0,0.34354,0.28406,0.21296,0.1088,0.338,0.28387,0.21103,0.09826,1.78898,3.03275,2.26546,1.58373,0,0.00122245,0.00122245,0.00122245
75,160.313,1.12056,1.78766,1.14444,1.05281,0,0.34354,0.28406,0.21296,0.1088,0.338,0.28387,0.21103,0.09826,1.78898,3.03275,2.26546,1.58373,0,0.00121962,0.00121962,0.00121962
76,162.327,1.13186,1.85461,1.16018,1.04827,0,0.31081,0.15222,0.11067,0.05665,0.33261,0.20778,0.17405,0.05707,1.8464,3.11037,2.5438,1.58904,0,0.00121679,0.00121679,0.00121679
