epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,3.86405,2.51144,4.9921,4.59927,0.01658,7.75305,0,0,0,0,0,0,0,0,2.30836,4.05994,3.90137,0.01788,0,1.429e-05,1.429e-05,1.429e-05
2,6.38253,2.38859,4.66927,4.44151,0.01461,7.62091,0,0,0,0,0,0,0,0,2.33592,4.15577,3.91321,0.01823,0,4.27851e-05,4.27851e-05,4.27851e-05
3,8.64626,2.44698,4.95681,4.49664,0.01467,7.59994,0,0,0,0,0,0,0,0,2.38728,4.18804,3.93547,0.01882,0,7.11671e-05,7.11671e-05,7.11671e-05
4,10.9315,2.37699,4.87126,4.52956,0.01475,7.57257,0,0,0,0,0,0,0,0,2.40591,4.25855,3.94802,0.01917,0,9.94358e-05,9.94358e-05,9.94358e-05
5,13.2285,2.3911,5.08259,4.51813,0.01468,7.47032,0,0,0,0,0,0,0,0,2.28599,4.09448,3.91964,0.01793,0,0.000127591,0.000127591,0.000127591
6,15.7327,2.24776,4.15082,4.44096,0.01299,7.34944,0,0,0,0,0.01389,0.00333,0.007,0.0007,1.94236,3.5959,3.84869,0.01423,0,0.000155634,0.000155634,0.000155634
7,18.1768,2.14693,3.94879,4.4544,0.01283,7.22302,0.00014,0.05556,0.0001,2e-05,0,0,0,0,1.97756,3.43565,3.8068,0.01518,0,0.000183563,0.000183563,0.000183563
8,20.7519,1.98218,3.68796,4.17975,0.0102,7.00853,0.00672,0.05889,0.00348,0.00103,0.01316,0.00667,0.00668,0.00266,2.18405,3.46491,3.80107,0.01823,0,0.000211379,0.000211379,0.000211379
9,23.0733,1.73862,3.34154,4.22577,0.01107,6.83245,0.0061,0.05889,0.00395,0.00077,0.0119,0.00667,0.00604,0.0009,2.21287,3.44601,3.79843,0.0187,0,0.000239082,0.000239082,0.000239082
10,25.4005,1.63203,3.14441,4.10846,0.00933,6.61821,0.0241,0.01333,0.01528,0.00195,0.03012,0.01667,0.01848,0.00706,2.17213,3.42854,3.79433,0.01828,0,0.000266672,0.000266672,0.000266672
11,27.8396,1.72926,3.10926,4.08084,0.00872,6.45718,0.0386,0.06556,0.0208,0.00347,0.0641,0.01667,0.03703,0.0137,2.09218,3.36445,3.79293,0.01681,0,0.000294148,0.000294148,0.000294148
12,30.2305,1.57593,3.0505,3.99589,0.00813,6.24558,0.03989,0.13778,0.0216,0.0063,0.05955,0.09556,0.03623,0.01254,2.06456,3.34097,3.77925,0.01671,0,0.000321512,0.000321512,0.000321512
13,32.6906,1.67252,2.93518,3.9507,0.0078,6.07652,0.05911,0.17111,0.03996,0.01125,0.05584,0.16778,0.03862,0.01461,1.98099,3.32172,3.75328,0.01581,0,0.000348762,0.000348762,0.000348762
14,35.1633,1.53162,2.92702,3.88102,0.00831,5.76943,0.05523,0.24667,0.03878,0.01165,0.05766,0.30556,0.04341,0.01673,1.8484,3.34131,3.73775,0.0147,0,0.000375899,0.000375899,0.000375899
15,37.6876,1.53466,2.97035,3.83619,0.00814,5.6154,0.05447,0.39778,0.05194,0.01734,0.04686,0.32556,0.05436,0.01986,1.77323,3.30817,3.71968,0.01354,0,0.000402923,0.000402923,0.000402923
16,40.1148,1.49769,2.72813,3.75253,0.00803,5.342,0.04017,0.43111,0.0506,0.01837,0.0376,0.42111,0.05692,0.02246,1.7671,3.32439,3.70147,0.01342,0,0.000429833,0.000429833,0.000429833
17,42.5747,1.48948,2.83568,3.70483,0.00756,5.16936,0.0349,0.57889,0.08536,0.02953,0.04006,0.55333,0.09154,0.03572,1.73982,3.23601,3.67317,0.01292,0,0.000456631,0.000456631,0.000456631
18,45.011,1.48793,2.81173,3.46102,0.00709,5.14242,0.03334,0.62889,0.10177,0.04487,0.03513,0.64222,0.10756,0.05004,1.68501,3.22057,3.61915,0.01176,0,0.000483315,0.000483315,0.000483315
19,47.4279,1.46083,2.68962,3.46039,0.00732,4.79964,0.03284,0.66222,0.10942,0.048,0.03227,0.71111,0.11514,0.05532,1.66652,3.12697,3.56462,0.01153,0,0.000509886,0.000509886,0.000509886
20,49.7598,1.40922,2.62462,3.42177,0.00716,4.60674,0.03026,0.66556,0.11215,0.05071,0.03047,0.72111,0.11363,0.05456,1.62679,3.16069,3.52699,0.01153,0,0.000536344,0.000536344,0.000536344
21,52.2272,1.55467,2.80843,3.29644,0.00696,4.48987,0.02798,0.67222,0.11195,0.05078,0.02736,0.66556,0.11583,0.05175,1.6081,3.11228,3.48805,0.01133,0,0.000562689,0.000562689,0.000562689
22,54.6011,1.43189,2.61659,3.30893,0.00749,4.3079,0.02741,0.67889,0.11671,0.0538,0.02681,0.67222,0.11971,0.05384,1.56862,3.05805,3.4736,0.01106,0,0.00058892,0.00058892,0.00058892
23,56.9816,1.51813,2.53103,3.23374,0.00752,4.15731,0.0267,0.73111,0.11736,0.05712,0.02699,0.73444,0.12064,0.05466,1.58534,3.20045,3.4384,0.01108,0,0.000615039,0.000615039,0.000615039
24,59.3907,1.42242,2.43332,2.97668,0.00667,3.9314,0.02697,0.73444,0.11681,0.06113,0.02725,0.73778,0.12582,0.05777,1.61309,3.24641,3.39497,0.01144,0,0.000641044,0.000641044,0.000641044
