epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
36,85.9737,3.66861,4.37918,3.83229,3.36551,0,0.0008,0.01,0.00041,4e-05,0,0,0,0,4.18341,5.18261,4.00957,3.84676,0,0.000944279,0.000944279,0.000944279
37,88.3602,3.69011,4.41224,3.80317,3.35408,0,0.0008,0.01,0.00041,4e-05,0,0,0,0,4.18341,5.18261,4.00957,3.84676,0,0.000968813,0.000968813,0.000968813
38,90.6717,3.52892,4.37852,3.71865,3.347,0,0,0,0,0,0,0,0,0,3.95087,5.11255,3.92247,3.67092,0,0.000993234,0.000993234,0.000993234
39,93.0166,3.47038,4.07196,3.6824,3.28561,0,0,0,0,0,0,0,0,0,3.93345,5.06454,3.88689,3.65058,0,0.00101754,0.00101754,0.00101754
40,95.4171,3.33011,4.10471,3.53137,3.17055,0,0,0,0,0,0,0,0,0,3.93345,5.06454,3.88689,3.65058,0,0.00104174,0.00104174,0.00104174
41,97.8193,3.37337,4.08615,3.52541,3.18004,0,0,0,0,0,0,0,0,0,3.98955,5.07717,3.87179,3.68649,0,0.00106582,0.00106582,0.00106582
42,100.227,3.32849,3.96823,3.54184,3.1715,0,0,0,0,0,0,0,0,0,3.88746,5.05599,3.8551,3.62484,0,0.00108978,0.00108978,0.00108978
43,102.614,3.23899,3.98446,3.42772,3.0805,0,0,0,0,0,0,0,0,0,3.88746,5.05599,3.8551,3.62484,0,0.00111364,0.00111364,0.00111364
44,104.915,3.24653,4.01359,3.39692,3.11959,0,0.00187,0.01,0.00096,0.00016,0,0,0,0,3.79342,4.89231,3.82001,3.56938,0,0.00113738,0.00113738,0.00113738
45,107.173,2.99562,3.72295,3.21735,3.09794,0,0.00187,0.01,0.00096,0.00016,0,0,0,0,3.79342,4.89231,3.82001,3.56938,0,0.00116101,0.00116101,0.00116101
46,109.56,3.08813,3.96333,3.21068,3.00883,0,0.00125,0.01,0.00066,9e-05,0.00042,0.00333,0.00022,4e-05,3.61013,4.73148,3.74413,3.41235,0,0.00118453,0.00118453,0.00118453
47,111.865,3.11166,3.79462,3.09735,3.04773,0,0.00125,0.01,0.00066,9e-05,0.00042,0.00333,0.00022,4e-05,3.61013,4.73148,3.74413,3.41235,0,0.00120793,0.00120793,0.00120793
48,114.25,2.9634,3.86912,3.16389,2.98727,0,0.00203,0.06889,0.00123,0.00018,0.00084,0.00667,0.00045,9e-05,3.53392,4.6494,3.71626,3.3653,0,0.00123122,0.00123122,0.00123122
